timestamp,eth_open,eth_high,eth_low,eth_close,eth_volume,btc_open,btc_high,btc_low,btc_close,btc_volume
2021-03-22 09:00:00,1780.29,1782.81,1773.81,1782.09,18410.09044,57210.58,57396.99,57024.13,57372.0,1792.564445
2021-03-22 10:00:00,1782.08,1807.51,1778.75,1793.71,27722.00683,57372.01,58430.73,57282.0,57908.82,3343.848801
2021-03-22 11:00:00,1793.8,1804.0,1790.26,1795.49,13343.88644,57908.82,58160.55,57555.55,57713.79,1618.683303
2021-03-22 12:00:00,1795.54,1797.71,1774.74,1782.91,20696.70803,57713.79,57761.0,56857.96,57259.48,2852.460232
2021-03-22 13:00:00,1782.91,1790.0,1766.32,1777.66,26522.68285,57267.75,57414.0,56521.01,56969.98,3973.052114
2021-03-22 14:00:00,1777.67,1785.3,1773.27,1779.12,17056.69407,56969.98,57279.26,56778.52,56990.02,2367.480357
2021-03-22 15:00:00,1779.12,1785.97,1776.0,1778.63,14443.86853,56990.02,57229.71,56866.38,57083.0,1765.178473
2021-03-22 16:00:00,1778.79,1783.04,1757.82,1773.84,30590.83727,57082.99,57195.0,56191.19,56753.6,3186.883792
2021-03-22 17:00:00,1773.81,1782.66,1767.68,1780.66,17571.08026,56753.61,57190.0,56551.04,57080.31,1802.844052
2021-03-22 18:00:00,1780.88,1783.43,1767.39,1772.2,17506.89202,57080.31,57175.11,56366.0,56494.11,2352.946051
2021-03-22 19:00:00,1772.2,1773.98,1737.37,1737.86,42024.84901,56492.91,56561.6,55508.0,55524.99,3887.353873
2021-03-22 20:00:00,1737.76,1746.0,1675.59,1677.08,74073.84185,55524.99,56000.0,54179.99,54507.62,6810.572561
2021-03-22 21:00:00,1677.21,1693.95,1660.01,1679.77,40869.12138,54504.94,54956.33,54200.0,54566.77,3177.529247
2021-03-22 22:00:00,1679.77,1695.34,1655.15,1695.13,43534.48969,54566.77,54658.87,53650.0,54614.23,5482.640591
2021-03-22 23:00:00,1695.29,1703.14,1680.47,1680.97,29171.6148,54614.99,54871.14,54060.0,54083.25,3193.655022
2021-03-23 00:00:00,1681.17,1694.73,1667.24,1692.53,32261.83479,54083.25,54760.0,53777.68,54697.73,3111.382982
2021-03-23 01:00:00,1692.31,1714.0,1687.27,1708.14,25655.53687,54681.39,55344.26,54509.89,55120.83,3136.554106
2021-03-23 02:00:00,1708.14,1711.05,1689.12,1692.49,23581.47247,55120.83,55145.05,54438.0,54548.58,2407.135162
2021-03-23 03:00:00,1692.49,1702.62,1687.54,1702.19,17165.381,54548.58,54742.3,54379.96,54684.83,1868.285406
2021-03-23 04:00:00,1702.24,1705.17,1687.02,1695.31,17198.63897,54683.6,54780.02,54057.28,54438.64,1925.284163
2021-03-23 05:00:00,1695.24,1697.19,1665.23,1677.7,35258.96718,54435.33,54471.36,53111.66,53532.25,4706.262267
2021-03-23 06:00:00,1677.7,1679.83,1650.0,1655.38,39663.73693,53532.26,53806.65,53000.0,53306.84,4134.572485
2021-03-23 07:00:00,1655.38,1682.81,1655.37,1679.36,23828.62542,53306.84,54277.78,53306.83,54161.34,2579.310685
2021-03-23 08:00:00,1679.34,1684.01,1666.66,1681.33,22383.57135,54166.12,54482.81,53821.79,54309.24,2327.974587
2021-03-23 09:00:00,1681.33,1690.89,1678.02,1687.3,16121.0601,54309.24,54698.3,54215.24,54607.86,1916.519037
2021-03-23 10:00:00,1687.29,1693.38,1683.96,1689.75,16107.35636,54602.43,54865.37,54430.52,54671.06,1862.74427
2021-03-23 11:00:00,1689.75,1696.92,1680.13,1687.35,20610.275,54671.05,54804.98,54060.79,54249.81,2196.960975
2021-03-23 12:00:00,1687.34,1712.1,1687.08,1705.11,30493.12823,54249.8,55287.52,54234.96,55110.0,2936.007551
2021-03-23 13:00:00,1705.1,1717.03,1702.11,1708.23,26869.02623,55110.0,55450.0,55020.81,55263.36,2692.723917
2021-03-23 14:00:00,1708.44,1712.99,1690.0,1707.48,24395.52688,55263.35,55367.34,54744.86,55184.25,2359.374263
2021-03-23 15:00:00,1707.53,1712.91,1701.27,1702.93,19444.15487,55185.06,55356.31,54919.72,55165.19,1857.122656
2021-03-23 16:00:00,1702.93,1719.78,1692.46,1710.02,31196.05558,55165.2,55760.0,54830.01,55548.52,2642.91064
2021-03-23 17:00:00,1710.22,1718.3,1706.75,1715.51,19188.33392,55548.52,55767.01,55401.0,55710.87,2130.55535
2021-03-23 18:00:00,1715.51,1721.17,1706.0,1707.14,19676.62221,55705.78,55830.9,55362.18,55364.69,1880.519753
2021-03-23 19:00:00,1707.13,1713.35,1692.91,1705.86,22584.0772,55364.68,55541.81,54825.42,55008.46,2847.211367
2021-03-23 20:00:00,1705.66,1707.47,1670.0,1672.41,22626.99663,55008.45,55080.16,54318.7,54452.6,2952.881221
2021-03-23 21:00:00,1672.63,1678.05,1658.5,1667.81,25125.36225,54453.3,54759.56,54190.1,54646.59,1816.23829
2021-03-23 22:00:00,1667.8,1681.8,1663.0,1665.18,29666.78623,54646.58,54906.78,54359.15,54387.91,1981.082894
2021-03-23 23:00:00,1665.3,1678.71,1663.28,1668.08,16111.46922,54387.91,54816.01,54299.95,54340.89,1519.7514
