timestamp,open,high,low,close,volume
2026-02-24 15:00:00,1834.73,1850.29,1828.46,1847.59,31496.7887
2026-02-24 16:00:00,1847.59,1863.33,1838.36,1858.56,27165.2043
2026-02-24 17:00:00,1858.57,1865.38,1849.55,1855.43,25214.2916
2026-02-24 18:00:00,1855.43,1860.67,1845.46,1855.08,12199.6586
2026-02-24 19:00:00,1855.08,1862.63,1847.05,1852.46,9800.1897
2026-02-24 20:00:00,1852.47,1862.36,1849.5,1858.58,6842.4044
2026-02-24 21:00:00,1858.57,1858.57,1845.41,1854.17,8846.6793
2026-02-24 22:00:00,1854.17,1864.11,1852.92,1860.56,7923.1468
2026-02-24 23:00:00,1860.56,1860.61,1851.63,1851.94,11904.5432
2026-02-25 00:00:00,1851.95,1856.68,1846.74,1851.98,5821.5512
2026-02-25 01:00:00,1851.98,1924.84,1850.49,1918.34,52073.9922
2026-02-25 02:00:00,1918.34,1944.86,1918.12,1920.97,30910.282
2026-02-25 03:00:00,1920.97,1922.81,1903.35,1906.14,16453.4618
2026-02-25 04:00:00,1906.14,1914.35,1894.37,1906.3,16090.4173
2026-02-25 05:00:00,1906.31,1908.3,1878.02,1887.98,18671.3654
2026-02-25 06:00:00,1887.98,1896.71,1884.83,1885.05,9969.6751
2026-02-25 07:00:00,1885.06,1895.58,1882.44,1893.31,10031.5014
2026-02-25 08:00:00,1893.32,1913.9,1890.27,1910.29,13325.2926
2026-02-25 09:00:00,1910.29,1917.83,1907.49,1915.19,12124.8111
2026-02-25 10:00:00,1915.18,1923.43,1910.22,1912.61,10393.5316
2026-02-25 11:00:00,1912.62,1928.45,1907.76,1926.48,13682.7133
2026-02-25 12:00:00,1926.48,1956.79,1922.28,1953.43,28466.2433
2026-02-25 13:00:00,1953.44,1976.89,1952.47,1964.57,29844.2399
2026-02-25 14:00:00,1964.57,2001.65,1962.14,1997.38,46629.0012
2026-02-25 15:00:00,1997.38,2028.7,1986.72,2013.73,54106.0004
2026-02-25 16:00:00,2013.69,2049.18,2013.36,2046.33,41815.8619
2026-02-25 17:00:00,2046.34,2086.17,2044.28,2073.9,52395.6223
2026-02-25 18:00:00,2073.9,2081.2,2056.93,2074.12,30666.6317
2026-02-25 19:00:00,2074.11,2074.9,2060.05,2071.1,20148.6445
2026-02-25 20:00:00,2071.1,2083.99,2058.37,2075.0,28425.5492
2026-02-25 21:00:00,2074.99,2148.39,2065.84,2100.33,72931.0504
2026-02-25 22:00:00,2100.33,2115.41,2073.79,2083.15,34986.5886
2026-02-25 23:00:00,2083.14,2087.0,2034.39,2057.48,33015.4094
2026-02-26 00:00:00,2057.48,2076.6,2047.83,2062.36,22284.1984
2026-02-26 01:00:00,2062.36,2066.95,2049.74,2058.34,15006.9545
2026-02-26 02:00:00,2058.35,2059.06,2039.37,2053.28,12368.7859
2026-02-26 03:00:00,2053.28,2059.35,2047.35,2054.55,9377.3741
2026-02-26 04:00:00,2054.55,2082.81,2051.92,2075.01,23573.5254
2026-02-26 05:00:00,2075.0,2075.55,2056.7,2066.13,11872.4705
2026-02-26 06:00:00,2066.13,2076.5,2059.54,2062.54,12915.98
2026-02-26 07:00:00,2062.54,2068.29,2051.55,2053.37,12926.6351
2026-02-26 08:00:00,2053.36,2059.0,2044.36,2054.43,18628.8111
2026-02-26 09:00:00,2054.43,2078.24,2052.79,2074.94,16397.1081
2026-02-26 10:00:00,2074.93,2083.33,2062.19,2065.31,11777.5046
2026-02-26 11:00:00,2065.31,2067.45,2053.46,2057.66,10700.8354
2026-02-26 12:00:00,2057.65,2071.76,2055.53,2070.0,8818.2351
2026-02-26 13:00:00,2069.99,2073.95,2061.09,2065.23,10459.4668
2026-02-26 14:00:00,2065.22,2077.81,2034.63,2051.19,38526.4365
2026-02-26 15:00:00,2051.19,2053.43,2011.56,2033.34,53604.6883
2026-02-26 16:00:00,2033.34,2037.78,1978.77,1983.8,46583.7566
2026-02-26 17:00:00,1983.8,1998.98,1982.3,1988.43,22310.0391
2026-02-26 18:00:00,1988.42,2009.45,1975.35,2004.23,23771.1683
2026-02-26 19:00:00,2004.23,2034.4,2003.58,2030.14,26957.7929
2026-02-26 20:00:00,2030.13,2042.75,2021.64,2023.67,16050.133
2026-02-26 21:00:00,2023.67,2034.99,2018.33,2030.36,5486.3481
2026-02-26 22:00:00,2030.36,2037.51,2027.26,2033.29,4396.4027
2026-02-26 23:00:00,2033.29,2033.64,2024.38,2027.68,4988.7061
2026-02-27 00:00:00,2027.68,2030.86,2008.34,2014.79,7570.5945
2026-02-27 01:00:00,2014.79,2022.6,2000.02,2021.9,28681.5096
2026-02-27 02:00:00,2021.89,2034.52,2019.37,2026.0,8985.7077
2026-02-27 03:00:00,2026.01,2049.48,2019.5,2045.39,9221.7961
2026-02-27 04:00:00,2045.39,2063.52,2039.84,2042.64,21685.0635
2026-02-27 05:00:00,2042.64,2049.43,2038.71,2041.61,7895.433
2026-02-27 06:00:00,2041.6,2042.95,2027.53,2035.91,13142.5053
2026-02-27 07:00:00,2035.92,2041.43,2022.16,2032.69,20364.8805
2026-02-27 08:00:00,2032.69,2045.93,2028.08,2033.38,12966.0015
2026-02-27 09:00:00,2033.39,2042.43,2008.41,2010.01,15280.4844
2026-02-27 10:00:00,2010.0,2013.69,1978.39,1980.8,32169.5442
2026-02-27 11:00:00,1980.8,1984.12,1953.37,1962.08,32125.2552
2026-02-27 12:00:00,1962.08,1969.0,1949.32,1959.92,21054.2631
2026-02-27 13:00:00,1959.91,1967.71,1938.82,1963.35,29787.9554
2026-02-27 14:00:00,1963.35,1964.3,1940.03,1942.95,27171.0123
