timestamp,open,high,low,close,volume
2026-02-23 16:00:00,65660.1,65724.28,65178.83,65364.65,1502.46383
2026-02-23 17:00:00,65364.66,65451.01,64152.04,64813.26,2524.7894
2026-02-23 18:00:00,64813.27,65194.51,64586.0,64635.49,994.68933
2026-02-23 19:00:00,64635.49,64855.18,64048.71,64295.1,2158.00321
2026-02-23 20:00:00,64295.11,64487.94,63888.79,64473.14,1313.21455
2026-02-23 21:00:00,64473.14,64783.54,64459.44,64580.66,593.24685
2026-02-23 22:00:00,64580.66,65035.98,64555.59,64725.56,1451.85665
2026-02-23 23:00:00,64725.56,64900.63,64538.9,64656.02,404.81213
2026-02-24 00:00:00,64656.01,65026.75,64656.01,64941.43,437.59997
2026-02-24 01:00:00,64941.42,64941.42,63433.84,64160.27,2402.75927
2026-02-24 02:00:00,64160.26,64500.0,64000.0,64109.81,599.63527
2026-02-24 03:00:00,64109.8,64109.8,63342.9,63595.51,1312.76931
2026-02-24 04:00:00,63595.51,63628.52,62868.69,63378.84,2096.9105
2026-02-24 05:00:00,63378.84,63551.58,62700.8,63104.79,1274.07037
2026-02-24 06:00:00,63104.79,63322.28,62900.0,63082.79,677.94768
2026-02-24 07:00:00,63082.79,63367.2,62866.42,63192.96,890.96125
2026-02-24 08:00:00,63192.79,63444.66,63009.92,63392.15,669.14656
2026-02-24 09:00:00,63392.15,63411.8,62908.92,63249.99,657.17066
2026-02-24 10:00:00,63250.0,63369.71,63112.7,63284.5,447.19211
2026-02-24 11:00:00,63284.51,63317.95,63063.63,63227.1,461.08382
2026-02-24 12:00:00,63227.11,63343.59,62965.21,62969.05,642.15852
2026-02-24 13:00:00,62969.04,63100.0,62510.28,62900.0,2362.19948
2026-02-24 14:00:00,62900.01,63834.21,62762.03,63453.99,1408.18955
2026-02-24 15:00:00,63454.0,64031.76,63300.0,63973.97,1127.10688
2026-02-24 16:00:00,63973.98,64428.9,63689.54,64265.52,1423.20973
2026-02-24 17:00:00,64265.53,64520.0,64042.8,64219.71,1017.32505
2026-02-24 18:00:00,64219.7,64500.0,63872.72,64435.06,809.89318
2026-02-24 19:00:00,64435.05,64743.11,64250.52,64435.03,722.29463
2026-02-24 20:00:00,64435.03,64591.99,64318.03,64472.9,409.22444
2026-02-24 21:00:00,64472.9,64472.9,63820.5,64042.66,576.40912
